"","A","B","C","D","E","F","G","H","I"
"Q74BN6",5.48109,8.446211,8.411111,8.099543,5.389316,8.040246,5.389316,8.429437,8.0894345
"Q74E92",5.7678105,8.440216,8.421161,8.137037,6.12694325,8.179379,6.12694325,8.526012,8.0973705
"Q74DZ7",5.184756,5.280534,5.21043,6.668628,5.2780655,6.893451,5.2780655,4.962264,6.7036765
"Q74BN2",5.27715,8.075583,8.039112,7.350539,5.2356655,7.47391,5.2356655,8.0035,7.3620935
"Q748B4",7.406016,5.781144,5.5996045,7.329031,7.550889,7.219087,7.550889,5.502576,7.284015
"Q74BN1",5.159609,7.631433,7.415416,6.591365,5.025071,6.508637,5.025071,7.4160735,6.678729
"Q74BN3",4.6905865,7.922326,7.9353965,7.351371,4.83516075,7.272236,4.83516075,7.88831,7.1973075
"Q747H7",7.6137025,5.95418,5.79574,7.787999,7.63019025,7.866158,7.63019025,6.177195,7.7586505
"Q74E93",6.6903425,8.707502,8.5277865,8.184691,6.66822125,8.20374,6.66822125,8.7093845,8.207007
"Q747B6",5.824313,6.848509,6.9120025,6.937508,5.775406,6.947581,5.775406,6.821139,6.8697815
"Q74D49",8.432593,7.409832,7.430955,7.810992,8.441298,7.902916,8.441298,7.3896445,7.856375
"Q74DY2",8.0561215,8.085398,8.1012515,8.079832,8.02959725,8.091702,8.02959725,8.037997,8.089497
"Q74FE1",8.0236835,7.929352,7.874908,8.053501,8.06135375,8.136943,8.06135375,7.9066715,8.0570805
"Q748Z2",8.0941255,7.629664,7.614446,8.044853,8.06333175,7.897539,8.06333175,7.5089005,8.0815425
"Q747M9",7.5530945,7.152196,7.274842,7.715652,7.51401225,7.636458,7.51401225,7.1407175,7.7874555
"Q74EQ2",5.329399,7.163817,7.1098845,6.916428,5.1934755,6.849763,5.1934755,7.163504,6.798753
"Q748Z4",8.2744235,8.166549,8.1149415,8.179465,8.30043075,8.222118,8.30043075,8.18635,8.2045095
"Q749F5",6.401989,6.663522,6.6238985,7.013048,6.3127035,7.116741,6.3127035,6.704193,7.0378715
"Q749V5",7.6051335,7.323871,7.3140945,7.477353,7.61242125,7.558637,7.61242125,7.353852,7.5237555
"Q748Z0",8.1354825,7.997766,7.903444,7.838169,8.12121025,8.003201,8.12121025,7.9729625,7.9567485
"Q74GA5",8.1315505,6.849585,6.822343,7.693797,8.14872375,7.785842,8.14872375,6.820283,7.7043945
"Q74BE4",4.7922355,5.836735,5.4138755,6.441758,4.87014925,6.531274,4.87014925,5.786729,6.2767285
"Q74A72",6.4665515,5.607596,5.479136,6.844384,6.33863575,6.997749,6.33863575,5.583578,6.828572
"Q74DT0",5.1458735,5.117321,5.1395645,6.284115,5.32496875,6.405381,5.32496875,5.406142,6.3652405
"Q748Z7",8.0343765,7.815876,7.7775025,8.087675,8.10722275,8.109207,8.10722275,7.727786,8.132519
"Q749A3",7.919649,7.16566,7.2044855,7.999618,7.889733,7.931158,7.889733,7.2013755,7.960699
